Altium Designer Pick and Place Locations
D:\1_Altium_Project\3_Camera_Board\NANORACK_V2_CAMERA_HW\01_SENSOR_PART\01_DESIGN\CAMERA_V100\Project Outputs for CAM_SEN_V100\Pick Place for CAM_SEN_V100.csv

========================================================================================================================
File Design Information:

Date:       27/02/25
Time:       10:49
Revision:   9b995103e58d90214847f7c0d69ec85076f2b286
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R12","4.7k","TopLayer","RES_C_1005X40","4.2000","44.6000","180","RES-Chip"
"R11","4.7k/NC","TopLayer","RES_C_1005X40","4.2000","43.7000","0","RES-Chip"
"R10","4.7k","TopLayer","RES_C_1005X40","4.9000","29.9000","180","RES-Chip"
"R9","4.7k/NC","TopLayer","RES_C_1005X40","4.9000","29.0000","0","RES-Chip"
"R8","4.7k","TopLayer","RES_C_1005X40","5.1000","21.3000","180","RES-Chip"
"R7","4.7k/NC","TopLayer","RES_C_1005X40","5.1000","18.6000","0","RES-Chip"
"R6","4.7k/NC","TopLayer","RES_C_1005X40","5.8000","7.7000","270","RES-Chip"
"R5","4.7k","TopLayer","RES_C_1005X40","15.2000","39.8000","180","RES-Chip"
"J11","Jumper_1-1","TopLayer","JUMPER_1-1","15.2000","40.8000","180",""
"J10","Jumper_1-1","TopLayer","JUMPER_1-1","15.6000","29.0000","90",""
"J9","Jumper_1-1","TopLayer","JUMPER_1-1","17.8000","22.5000","180",""
"J8","Jumper_1-1","TopLayer","JUMPER_1-1","18.2000","4.8000","90",""
"J7","Jumper_1-1","TopLayer","JUMPER_1-1","5.4000","39.0000","90",""
"J6","Jumper_1-1","TopLayer","JUMPER_1-1","5.1000","25.1000","0",""
"J5","Jumper_1-1","TopLayer","JUMPER_1-1","5.9000","15.1000","0",""
"J4","Jumper_1-1","TopLayer","JUMPER_1-1","5.5000","4.0000","270",""
"H6","Hole 0.7mm","TopLayer","HEX-0.7mm","3.0000","1.3000","0",""
"H5","Hole 0.7mm","TopLayer","HEX-0.7mm","21.4000","1.2000","0",""
"J1","0532611571","TopLayer","0532611571","24.0500","22.0000","90","Conn Shrouded Header (4 Sides) HDR 15 POS 1.25mm Solder RA Side Entry SMD PicoBlade™ T/R"
"C24","0.22uF/16V","TopLayer","CAP_C_1005X60","16.5000","3.6000","180","CAP_Chip"
"C23","2.2uF/6.3V","TopLayer","CAP_C_1005X60","13.5000","2.1000","0","CAP_Chip"
