Altium Designer Pick and Place Locations
D:\1_Altium_Project\3_Camera_Board\NANORACK_V2_CAMERA_HW\02_POWER_PART\01_DESIGN\CAMERA_V100\Project Outputs for CAM_PW_100\Pick Place for CAM_PW_V100.txt

========================================================================================================================
File Design Information:

Date:       27/02/25
Time:       10:50
Revision:   9b995103e58d90214847f7c0d69ec85076f2b286
Variant:    No variations
Units used: mm

Designator Comment              Layer       Footprint                Center-X(mm) Center-Y(mm) Rotation Description                
R25        4.7k                 BottomLayer RES_C_1005X40            20.5000      32.6000      270      RES-Chip                   
R24        4.7k                 BottomLayer RES_C_1005X40            19.4000      32.6000      270      RES-Chip                   
J4         Jumper_1-1           BottomLayer Jumper_1-1               5.7000       4.1000       180      ""                         
J3         Jumper_1-1           BottomLayer Jumper_1-1               5.7000       5.6000       180      ""                         
Y1         DSC1001DL5-027.0000T BottomLayer OSCDFN250X200X89-4N      10.1000      13.3000      270      ""                         
U11        NL7SZ97DFT2G-Q       BottomLayer SC-88                    10.0000      5.4000       180      ""                         
U10        NL7SZ97DFT2G-Q       BottomLayer SC-88                    10.0000      10.4000      180      ""                         
R20        4.7k/NC              BottomLayer RES_C_1005X40            12.1000      44.9000      270      RES-Chip                   
R19        4.7k                 BottomLayer RES_C_1005X40            11.2000      44.9000      270      RES-Chip                   
R18        4.7k                 BottomLayer RES_C_1005X40            20.9000      16.4000      90       RES-Chip                   
R17        4.7k                 BottomLayer RES_C_1005X40            8.5000       44.9000      270      RES-Chip                   
R16        4.7k                 BottomLayer RES_C_1005X40            10.3000      44.9000      270      RES-Chip                   
R15        4.7k                 BottomLayer RES_C_1005X40            9.4000       44.9000      270      RES-Chip                   
R14        4.7k                 BottomLayer RES_C_1005X40            5.8000       44.9000      270      RES-Chip                   
R13        4.7k                 BottomLayer RES_C_1005X40            7.6000       44.9000      270      RES-Chip                   
R12        4.7k                 BottomLayer RES_C_1005X40            6.7000       44.9000      270      RES-Chip                   
R11        4.7k                 BottomLayer RES_C_1005X40            8.8000       31.8000      90       RES-Chip                   
R10        4.7k                 BottomLayer RES_C_1005X40            7.0000       31.8000      90       RES-Chip                   
R9         4.7k                 BottomLayer RES_C_1005X40            7.9000       31.8000      90       RES-Chip                   
R8         4.7k                 BottomLayer RES_C_1005X40            11.5000      31.8000      90       RES-Chip                   
R7         4.7k                 BottomLayer RES_C_1005X40            9.7000       31.8000      90       RES-Chip                   
R6         4.7k                 BottomLayer RES_C_1005X40            10.6000      31.8000      90       RES-Chip                   
J2         DF40C-24DP-0.4V51    BottomLayer CONN24_6P32X1P85_HDR_HIR 2.4000       14.0000      90       "No Description Available" 
C16        0.22uF/16V           BottomLayer CAP_C_1005X60            7.9000       8.4000       270      CAP_Chip                   
C15        0.22uF/16V           BottomLayer CAP_C_1005X60            7.9000       5.9000       270      CAP_Chip                   
C14        0.22uF/16V           BottomLayer CAP_C_1005X60            7.9000       10.9000      270      CAP_Chip                   
C13        0.22uF/16V           BottomLayer CAP_C_1005X60            13.6000      41.2000      90       CAP_Chip                   
