Altium Designer Pick and Place Locations
D:\1_Altium_Project\3_Camera_Board_v101\NANORACK_V2_CAMERA_1.0.1_HW\03_MERGE\01_DESIGN\Project Outputs for CAM_v120\Pick Place for CAM_SEN_V120.csv

========================================================================================================================
File Design Information:

Date:       11/04/25
Time:       14:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U15","NCP139AFCT105T2G","TopLayer","WLCSP6","1.7000","30.8000","90",""
"C82","2.2uF/6.3V","TopLayer","CAP_C_1005X60","3.2000","30.7000","90","CAP_Chip"
"R42","22R","TopLayer","RES_C_1005X40","8.8000","4.8000","180","RES-Chip"
"R41","22R","TopLayer","RES_C_1005X40","12.7000","22.8000","0","RES-Chip"
"R40","22R","TopLayer","RES_C_1005X40","6.3000","27.0000","270","RES-Chip"
"R39","22R","TopLayer","RES_C_1005X40","6.5000","43.1000","180","RES-Chip"
"R38","4.7k","TopLayer","RES_C_1005X40","6.8000","4.8000","0","RES-Chip"
"R37","4.7k","TopLayer","RES_C_1005X40","12.7000","23.7000","0","RES-Chip"
"R36","4.7k","TopLayer","RES_C_1005X40","7.4000","26.2000","90","RES-Chip"
"R35","4.7k","TopLayer","RES_C_1005X40","5.0000","43.1000","90","RES-Chip"
"R34","4.7k","TopLayer","RES_C_1005X40","6.1000","3.6000","180","RES-Chip"
"R33","4.7k","TopLayer","RES_C_1005X40","7.2000","9.0000","90","RES-Chip"
"TP41","","TopLayer","Testpoint_50","14.1000","14.7000","90","Test Point"
"TP40","","TopLayer","Testpoint_50","13.0000","14.3000","90","Test Point"
"TP39","","TopLayer","Testpoint_50","16.1000","17.7000","90","Test Point"
"TP38","","TopLayer","Testpoint_50","16.9000","14.4000","90","Test Point"
"TP37","","TopLayer","Testpoint_50","18.1000","13.3000","90","Test Point"
"TP36","","TopLayer","Testpoint_50","19.8000","13.2000","90","Test Point"
"TP35","","TopLayer","Testpoint_80","21.8000","8.2000","90","Test Point"
"TP34","","TopLayer","Testpoint_80","4.2000","0.5000","90","Test Point"
"TP33","","TopLayer","Testpoint_80","16.8000","45.7000","90","Test Point"
"TP32","","TopLayer","Testpoint_50","12.9000","37.8000","90","Test Point"
"TP26","","TopLayer","Testpoint_60","9.9000","42.2000","90","Test Point"
"TP14","","TopLayer","Testpoint_60","9.0000","20.2000","90","Test Point"
"TP31","","TopLayer","Testpoint_50","12.0000","36.6000","90","Test Point"
"TP25","","TopLayer","Testpoint_60","9.8000","43.1000","90","Test Point"
"TP13","","TopLayer","Testpoint_60","9.0000","21.2000","90","Test Point"
"TP30","","TopLayer","Testpoint_50","11.2000","36.2000","90","Test Point"
"TP24","","TopLayer","Testpoint_60","8.8000","42.2000","90","Test Point"
"TP12","","TopLayer","Testpoint_60","8.2000","20.2000","90","Test Point"
"TP29","","TopLayer","Testpoint_50","9.8000","36.2000","90","Test Point"
"TP23","","TopLayer","Testpoint_60","8.7000","43.0000","90","Test Point"
"TP11","","TopLayer","Testpoint_60","10.7000","19.9000","90","Test Point"
"TP28","","TopLayer","Testpoint_50","6.9000","37.6000","90","Test Point"
"TP22","","TopLayer","Testpoint_60","10.9000","42.2000","90","Test Point"
"TP10","","TopLayer","Testpoint_60","9.9000","20.1000","90","Test Point"
"TP27","","TopLayer","Testpoint_50","8.6000","37.8000","90","Test Point"
"TP21","","TopLayer","Testpoint_60","10.8000","43.1000","90","Test Point"
"TP9","","TopLayer","Testpoint_60","9.9000","21.2000","90","Test Point"
"TP20","","TopLayer","Testpoint_60","10.7000","32.0000","90","Test Point"
"TP19","","TopLayer","Testpoint_60","9.8000","33.1000","90","Test Point"
"TP18","","TopLayer","Testpoint_60","8.9000","32.0000","90","Test Point"
"TP17","","TopLayer","Testpoint_60","9.8000","32.1000","90","Test Point"
"TP16","","TopLayer","Testpoint_60","12.0000","31.6000","90","Test Point"
